id,name,lat,lon
2368203201,Beacon Hospital,53.276704200000005,-6.2188689
3054671379,The Rotunda Mosse House,53.35287209999999,-6.2612535
10674990622,"Mater Private Network, Day Hospital",53.2416161,-6.1406136
11043766087,Mater Private Hospital,53.4041222,-6.181531600000001
12219521,Connolly Hospital,53.38909279306199,-6.367269214631332
22634348,Beaumont Hospital,53.39027928348658,-6.2238096694800245
22770493,Royal Hospital Donnybrook,53.32512711495138,-6.247948131862975
23587853,St Luke's Hospital,53.309512903936955,-6.267420778191567
23587855,Lucena Clinic & St Peter's School,53.31027809534473,-6.27019160769537
23983782,Clonskeagh Hospital,53.315431679530874,-6.239832820667044
24661073,Saint Joseph's Hospital,53.38776084000288,-6.43196658421048
29504327,Cherry Orchard Hospital,53.34292586106284,-6.377355076226264
32015912,St. James's Hospital,53.339832870438926,-6.295589924268554
32063615,Children's Health Ireland at Crumlin,53.32602169054079,-6.319029191830007
33005181,Mater Misericordiae University Hospital,53.359555743992786,-6.267088549211238
33005187,Mater Private Hospital,53.35810723983442,-6.264439766922714
33738850,Central Remedial Clinic,53.368996060990156,-6.201354264031153
42352117,Cappagh National Orthopaedic Hospital,53.39383476467561,-6.32708426510716
43249662,Unnamed Hospitals,53.352562028572336,-6.276479735225619
43675789,Bon Secours Hospital,53.37571410860242,-6.267334285601605
48460622,The Meath Primary Care Centre (Former Meath Hospital),53.33575284100131,-6.270276842732166
51231573,Tallaght University Hospital,53.29117864780967,-6.378589917541707
51567967,Hermitage Clinic,53.359123852313445,-6.405179733807065
51680291,St. Columcille's Hospital,53.242563891693145,-6.1329462718715915
51985549,St. Michael's Hospital,53.2941072864592,-6.138114123761682
52156721,National Rehabilitation Hospital,53.27549596631175,-6.15305039196169
57676686,Saint Ita's Psychiatric Hospital,53.487669728257835,-6.113082176888978
79498864,Rotunda Hospital,53.3529884714697,-6.2632875906119905
82085707,Phoenix Care Centre,53.357282342325895,-6.285094491260483
84762457,Blackrock Clinic,53.30363314135498,-6.188322310444088
86207904,Leopardstown Park Hospital,53.268543293816556,-6.202309558871857
105915594,Mount Carmel Community Hospital,53.304525204064696,-6.2656017556451085
120086086,Saint Mary's Hospital,53.350940483592424,-6.33713110216506
128516759,Saint John of God Hospital,53.285492551545616,-6.191399308320729
128904782,Hillside Farm,53.3807654442888,-6.256558502121367
129217469,Coombe Women & Infants University Hospital,53.33466427107024,-6.288500626002946
133528910,Highfield Healthcare,53.37852062312986,-6.245445759353685
137349173,Children's Health Ireland at Temple Street,53.357113325872874,-6.261536486716858
153097627,Gheel Autism Services,53.36774958572367,-6.241764625229812
155848026,Fairview Community Unit (Mater Hospital),53.36782403965237,-6.243237091801952
202278332,St. Vincent's Private Hospital,53.31554137196038,-6.209124514951107
229997299,Irish Wheelchair Association and Respite Centre,53.36811150968089,-6.199848356739945
230478275,St Bricin's Military Hospital,53.35181952279684,-6.291154724389676
234923483,Saint Patrick’s University Hospital,53.34408700219097,-6.293089388453459
277289764,Royal Victoria Eye and Ear Hospital,53.33280468154056,-6.2558208007159815
307509515,Bloomfield Health Services & Quaker House,53.27195778815023,-6.304506063917359
394470425,The National Maternity Hospital,53.34008645679687,-6.245712612019901
500288024,Children's Health Ireland at Crumlin,53.32455146798049,-6.321965265390591
533662911,Hampstead Private Hospital,53.38164226280285,-6.259725873881145
560423644,Mater Private Hospital,53.35685984529649,-6.264960603149881
563272077,Incorporated Orthopaedic Hospital of Ireland,53.36736371650356,-6.20189029851983
586806954,St. Loman's Hospital,53.356676811617376,-6.4076283022201
594793442,National Forensic Mental Health Service,53.48930488300063,-6.120067300225271
637918930,Kilrock House,53.385192239994964,-6.059565573803295
653631508,St. Edmundsbury Hospital,53.362801862996456,-6.437559961839238
1457877516,Beaumont Lodge Transitional Care Unit,53.39029073141346,-6.216118429630947
3060089,UPMC Sports Surgery Clinic,53.40465454232762,-6.2537875658441555
4078472,St. Raphael's Hospital,53.33719426074008,-6.545721559389228
12144599,St Vincent's University Hospital,53.31690125657961,-6.212628164348485
13945381,St Joseph's Hospital,53.38275043802242,-6.181866332997797
19308139,Dublin Dental University Hospital,53.342300414534115,-6.2520317210644185
20131519,Unnamed Hospitals,53.33398791646186,-6.243920136227933
