id,name,lat,lon
434378090,Grafton College of Management Sciences,53.3551013,-6.262808099999999
529655898,Dominican College,53.30149409999999,-6.189717700000001
529655899,Froebel College of Education,53.3012319,-6.189060099999999
651804747,Dublin Business School,53.340515599999996,-6.265438700000001
1327270445,Swan Training Institute,53.3425545,-6.259499
1460508190,Erin college,53.3559356,-6.268338999999999
1488891296,Youthreach,53.3540338,-6.262705400000001
2529089276,The Open College,53.2605842,-6.196391400000001
2558604966,Hibernia College,53.34176709999999,-6.2520424000000006
2569936143,Dorset College,53.3581683,-6.2574292
2997622559,Dublin Business School,53.3433477,-6.264677200000001
3044894567,Boston College - Ireland,53.3382439,-6.255367699999999
3051154795,School of English & Business Studies,53.347583300000004,-6.259844300000001
3052818967,Business Computer Training Institute,53.3529298,-6.264979099999999
3151879456,International College of Technology,53.346291199999996,-6.258823199999999
3224845395,Gaiety School of Acting,53.3447423,-6.268478900000001
3477853413,The Academy of Photography,53.3563943,-6.246934799999999
3486151704,NCU Training Centre,53.4003602,-6.206649400000001
3624029855,Portobello Institute,53.3520688,-6.267035399999999
3674218871,BFTTI Hi-tech Training,53.35501859999999,-6.2616855
3733491305,Bronwyn Conroy International Beauty School,53.300329500000004,-6.1760546000000005
4338228959,Blackrock Further Education Institute,53.300884,-6.175952499999999
5337558047,Youthreach,53.391579699999994,-6.2645581
5388335460,Ballark Community Training Centre,53.3886277,-6.255282199999999
5400353558,Dorset College,53.3608786,-6.260584800000001
5413409347,Clonturk Community College,53.3792372,-6.2476975
5419527345,Nail Sytems International Training Centre,53.38764590000001,-6.238474300000001
5622391888,Kylemore Community Training Centre,53.34273569999999,-6.345987500000001
6054859098,National Ambulance Service College,53.2872061,-6.3767513000000005
6157780510,Oxford College International,53.34868569999999,-6.2587762
6214680641,City Colleges,53.3442162,-6.267527000000001
6214680642,City Colleges,53.3436171,-6.264745700000001
6704091231,Code Institute,53.2979018,-6.1796454
8435771766,Bray Adult Education Centre,53.20121089999999,-6.108449000000001
11883104383,Unnamed Universities/Colleges,53.309205500000004,-6.224043199999999
11883483868,Unnamed Universities/Colleges,53.310337,-6.2248592
11883514769,Unnamed Universities/Colleges,53.31014150000001,-6.2256946
12817541197,Champlain College Dublin,53.3331038,-6.254138900000001
13134358639,Unnamed Universities/Colleges,53.351655599999994,-6.259036100000002
13534116371,UCD Innovation Academy,53.30813549999999,-6.224269700000001
23258206,Stillorgan College of Further Education,53.29136309411244,-6.199746654395539
23645983,College of Further Education Dundrum,53.2909891044828,-6.24449300250446
23645984,Further Education Centre Dundrum,53.28993887587165,-6.239999405516096
23688845,Bray Adult Education Centre,53.192837663938036,-6.101463581854807
23997662,UCD Richview,53.31093329449115,-6.2362734697817235
27715951,TU Dublin Aeronautical Engineering,53.426367314287404,-6.222834684767415
32118047,Dublin City University Saint Patrick's Campus,53.3712319394489,-6.25600734743692
32866856,Technological University Dublin - Bolton Street Campus,53.351247292329006,-6.2687569437247355
35093819,Knocksinkwood,53.1981654013197,-6.17763141558672
37792287,TU Dublin Sports Broombridge,53.372407609371805,-6.302175792886086
38081937,Unnamed Universities/Colleges,53.307995341931985,-6.220578787466635
38097072,Goldsmith Hall (Trinity College Dublin),53.34376696634715,-6.248769955191651
48043961,Dún Laoghaire Further Education Institute,53.29411729015793,-6.144318703263636
48082759,Killester College of Further Education,53.37124152323256,-6.208365122393841
49713166,Ballycoolin Regional Training Centre,53.4096864479579,-6.361567582300784
49753636,TU Dublin Tallaght,53.29110294558929,-6.36285670562927
50922011,Dublin City University Sports Campus,53.3815161981099,-6.271263970030181
51144160,Sallynoggin College of Further Education,53.273422297927574,-6.138637824843366
52302815,Technological University of Dublin,53.35656521357784,-6.249638705386978
52375058,National College of Art and Design,53.3435188725419,-6.278544000136725
52375075,National College of Art & Design,53.34355976200999,-6.277044381998829
54183121,TU Dublin Blanchardstown,53.405293193347006,-6.3810524215748465
62231120,Griffith College Dublin,53.33070783441829,-6.278305582596333
72002943,Plunket College of Further Education,53.3796216183901,-6.248576212684838
81370853,IPA - Institute of Public Administration,53.33357008154952,-6.22996244208042
86498741,Bray Institute of Further Education,53.200344109424584,-6.1056969487122466
102694981,The Lir,53.342179794528434,-6.23920036306383
121392321,Ringsend College,53.34373550964484,-6.224190749879324
128521420,City of Dublin FET College Central Campus,53.32996964621997,-6.231464849144938
129750565,Crumlin College of Further Education,53.329401617078865,-6.303604967958069
132716150,Whitehall College of Further Education,53.376912277667785,-6.250302067492642
135230135,Dublin City University Glasnevin Campus,53.38522203580495,-6.2575396723430545
136073184,Dublin City University Mater Dei Campus,53.36383295842821,-6.254951550992255
136074814,Holy Cross College & Diocesan Centre,53.36508244376782,-6.252722074862364
146450247,Marino College,53.36438829276127,-6.231525525672763
158304700,Marino Institute of Education,53.37336888720222,-6.232658454897403
159675759,Dublin Fire Brigade Training Centre,53.37131040467446,-6.229079426857871
189855336,St Paul's Youth Encounter Project,53.38402003080587,-6.317410129584767
192994874,Ballyfermot College of Further Education,53.34483046182679,-6.3498110680156445
205345576,Ballyfermot College of Further Education,53.34017285537435,-6.352035456400818
220467074,UCD Michael Smurfit Graduate Business School,53.295871204383374,-6.184351131518995
228188022,RCSI Reservoir House,53.27851390033685,-6.2097616493306615
228288222,College of Computing Technology,53.34606162208941,-6.258761477346507
231211917,Instituto Cervantes Dublin,53.34197807227233,-6.2513926076024475
255385171,Kylemore College,53.34497158108749,-6.3513458302108425
255441559,Ballyfermot Training Centre,53.346891140501576,-6.350398384775256
272334667,Rathmines College,53.324069753936236,-6.264746969550142
273193860,Pearse College of Further Education / St Kevin's College,53.32726918601793,-6.294901424120905
289746896,College of Amenity Horticulture,53.37278795212435,-6.268953569558806
303879591,Rathmines College,53.32377240193314,-6.270125123885473
307403825,Dublin Institute for Advanced Studies,53.331217707030845,-6.245887157883167
311466843,Trinity College Dublin,53.34372999589318,-6.254612053815789
312204496,"Trinity Biomedical Sciences Institute (Trinity College, Dublin)",53.343379032656976,-6.247227234153791
334114102,Royal Irish Academy of Music,53.34234072874133,-6.249729586349489
365974511,"Westland Square (Trinity College, Dublin)",53.34379475293961,-6.246791089861999
365974513,Unnamed Universities/Colleges,53.342026320587934,-6.250144295355156
373212206,Dublin City University Innovation Campus,53.376451571529444,-6.270683815654437
387127471,"Institute of Art, Design + Technology",53.28014678108088,-6.152220276727848
394471655,Hibernia College Dublin,53.341127295902176,-6.246655612656984
399497657,Pearse College of Further Education,53.32535694364658,-6.294276645800302
400577194,Colaiste Íde College of Further Education,53.38685567594723,-6.311783603216621
422019541,American College Dublin,53.341204126853675,-6.250323826224479
426304549,Law Society of Ireland,53.348732312220754,-6.2835325654048635
445181517,SIPTU College,53.33863534412572,-6.303546987928617
445731756,Coláiste Dhúlaigh College of Further Education,53.38652932041063,-6.158903020686073
446245570,"City of Dublin FET College, Finglas",53.399840281228315,-6.2888811487508285
479953179,Coláiste Dhúlaigh College of Further Education,53.39678017052563,-6.212419947386363
479958833,Larkin Community College,53.352057166145855,-6.257584007624109
485625589,Inchicore College of Further Education,53.34027266665413,-6.3122931121124655
491190128,Marino College of Further Education,53.35514116756944,-6.245331438181744
491225681,"Technological University Dublin, Aungier Street Campus",53.33879491266066,-6.267349757589511
495994503,Liberties College,53.34089600123691,-6.2712097411539
518057993,Baldoyle Training Centres,53.3929638567149,-6.152262749564414
610557622,Fáilte Ireland Catering College,53.353707286489445,-6.24660138824505
660021255,City of Dublin FET College Crumlin (Youthreach),53.32077379175309,-6.308444128000978
662482281,Unnamed Universities/Colleges,53.38674930999286,-6.191665164616306
673093546,Whitehall College Of Further Education,53.37287339437102,-6.263820560191322
682161871,Greenhills College of Further Education,53.30790390036691,-6.335750272452473
725896114,Clondalkin Education Centre,53.321617758217464,-6.391157790659491
942374908,Youthreach,53.40460837158296,-6.215110886062947
944252767,Dunboyne College of Further Education,53.426675215610736,-6.474699687268925
986822412,Teagasc Kinsealy Centre,53.42253812540139,-6.1733474957519965
1083778149,Warrenmout Community Education Centre,53.33635378999455,-6.276211506410362
1084322029,TU Dublin - Conservatory of Music and Drama,53.34093914580788,-6.262767096137335
1086505082,UCD Perinatal Research Centre - temporarily closed,53.33944732177769,-6.245056598031489
1101491448,National College of Ireland - Campus 2,53.34913917696611,-6.239215825630652
1267505607,Coláiste na hÉireann,53.34161577704975,-6.251091024503144
4033024,National College of Ireland - Campus 1,53.348764055921,-6.242778945734373
4203256,Royal College of Surgeons in Ireland,53.33946736591788,-6.263370064765527
4260436,University College Dublin (Belfield Campus),53.306795821180046,-6.223774326655361
4432957,"School of Nursing and Midwifery (Trinity College, Dublin)",53.346668887150656,-6.257620961875355
4473549,University College Dublin - Lyons Research Farm,53.300532166907715,-6.532744155774207
4816906,Coláiste Dhúlaigh College of Further Education,53.38275499422309,-6.18329234930269
5467501,Dublin City University All Hallows Campus,53.37123873305602,-6.248668445197857
7241980,Kimmage Manor,53.30872737827043,-6.308585282009664
11223485,Technological University Dublin - Grangegorman Campus,53.35496925357134,-6.2810744200150594
