id,name,lat,lon,walk_node_id,snap_distance_m
2368203201,Beacon Hospital,53.276704200000005,-6.2188689,8013525077,6.6297685035429375
3054671379,The Rotunda Mosse House,53.35287209999999,-6.2612535,5301585445,11.199326098710863
10674990622,"Mater Private Network, Day Hospital",53.2416161,-6.1406136,13576108831,24.516031093555743
11043766087,Mater Private Hospital,53.4041222,-6.181531600000001,6071589877,22.091254005018886
12219521,Connolly Hospital,53.38909279306199,-6.367269214631332,1140979381,21.78115147107812
22634348,Beaumont Hospital,53.39027928348658,-6.2238096694800245,10958463741,5.809384493356554
22770493,Royal Hospital Donnybrook,53.32512711495138,-6.247948131862975,2617479232,11.34005478976068
23587853,St Luke's Hospital,53.30951290393696,-6.267420778191567,8610763018,10.832498550350493
23587855,Lucena Clinic & St Peter's School,53.31027809534473,-6.27019160769537,8819102607,23.73566993890166
23983782,Clonskeagh Hospital,53.31543167953088,-6.239832820667044,3974588305,12.176077192327654
24661073,Saint Joseph's Hospital,53.38776084000288,-6.43196658421048,5247466671,38.92545563382583
29504327,Cherry Orchard Hospital,53.34292586106284,-6.377355076226264,13168134496,3.2847138488484107
32015912,St. James's Hospital,53.339832870438926,-6.295589924268554,5209293845,26.882131444419795
32063615,Children's Health Ireland at Crumlin,53.32602169054079,-6.319029191830007,4151551737,79.38028889789773
33005181,Mater Misericordiae University Hospital,53.35955574399279,-6.267088549211238,13543563287,17.934482935267763
33005187,Mater Private Hospital,53.35810723983442,-6.264439766922714,3500253577,36.9829398943743
33738850,Central Remedial Clinic,53.36899606099016,-6.201354264031153,5428340739,28.90198433636476
42352117,Cappagh National Orthopaedic Hospital,53.39383476467561,-6.32708426510716,528743473,25.468768643612343
43249662,Unnamed Hospitals,53.352562028572336,-6.276479735225619,11541725990,33.11434816723802
43675789,Bon Secours Hospital,53.37571410860242,-6.267334285601605,1456616256,15.513255468959535
48460622,The Meath Primary Care Centre (Former Meath Hospital),53.33575284100131,-6.270276842732166,2477945997,24.469075673824108
51231573,Tallaght University Hospital,53.29117864780967,-6.378589917541707,5779961911,14.213106388489752
51567967,Hermitage Clinic,53.359123852313445,-6.405179733807065,12108298139,0.5279234249646119
51680291,St. Columcille's Hospital,53.242563891693145,-6.132946271871592,13066252056,6.928516665524
51985549,St. Michael's Hospital,53.2941072864592,-6.138114123761682,12887754446,13.005637282624429
52156721,National Rehabilitation Hospital,53.27549596631175,-6.15305039196169,12391619010,5.338941091368265
57676686,Saint Ita's Psychiatric Hospital,53.48766972825784,-6.113082176888978,12415333002,11.436477958850077
79498864,Rotunda Hospital,53.3529884714697,-6.263287590611991,10304616029,58.909959621199455
82085707,Phoenix Care Centre,53.357282342325895,-6.285094491260483,5246094304,27.259891441204076
84762457,Blackrock Clinic,53.30363314135498,-6.188322310444088,11285984273,24.149024374967453
86207904,Leopardstown Park Hospital,53.26854329381656,-6.202309558871857,13437504995,8.815631577116598
105915594,Mount Carmel Community Hospital,53.304525204064696,-6.2656017556451085,140405704,35.050561012813326
120086086,Saint Mary's Hospital,53.35094048359242,-6.33713110216506,5752456119,16.213961796380136
128516759,Saint John of God Hospital,53.285492551545616,-6.191399308320729,13426779948,6.578635571852781
128904782,Hillside Farm,53.3807654442888,-6.256558502121367,6303224736,73.2385373822366
129217469,Coombe Women & Infants University Hospital,53.33466427107024,-6.288500626002946,4510484397,5.215186800301888
133528910,Highfield Healthcare,53.37852062312986,-6.245445759353685,1480438941,15.756245832994859
137349173,Children's Health Ireland at Temple Street,53.35711332587288,-6.261536486716858,527734961,43.41947391432234
153097627,Gheel Autism Services,53.36774958572367,-6.241764625229812,11818450269,10.577753760213632
155848026,Fairview Community Unit (Mater Hospital),53.36782403965237,-6.243237091801952,3660651825,5.406696322121859
202278332,St. Vincent's Private Hospital,53.31554137196038,-6.209124514951107,2455688910,25.590418289347568
229997299,Irish Wheelchair Association and Respite Centre,53.36811150968089,-6.199848356739945,2385310676,22.314718052937536
230478275,St Bricin's Military Hospital,53.35181952279684,-6.291154724389676,11895159194,13.794037745836311
234923483,Saint Patrick’s University Hospital,53.34408700219097,-6.293089388453459,10711120927,38.76353465046338
277289764,Royal Victoria Eye and Ear Hospital,53.33280468154056,-6.2558208007159815,2998488443,21.24209006950661
307509515,Bloomfield Health Services & Quaker House,53.27195778815023,-6.304506063917359,4045828471,6.170779380897022
394470425,The National Maternity Hospital,53.34008645679687,-6.245712612019901,12073659649,25.52892024788302
500288024,Children's Health Ireland at Crumlin,53.32455146798049,-6.321965265390591,4913827198,23.04630786425099
533662911,Hampstead Private Hospital,53.38164226280285,-6.259725873881145,1430922948,31.165001638467658
560423644,Mater Private Hospital,53.35685984529649,-6.264960603149881,6223634360,21.330581700759975
563272077,Incorporated Orthopaedic Hospital of Ireland,53.36736371650356,-6.20189029851983,1095709431,37.774003099739005
586806954,St. Loman's Hospital,53.356676811617376,-6.4076283022201,10292401109,9.984121382236006
594793442,National Forensic Mental Health Service,53.48930488300063,-6.120067300225271,12290323575,40.96286320148765
637918930,Kilrock House,53.38519223999496,-6.059565573803295,5636029707,16.401424725526972
653631508,St. Edmundsbury Hospital,53.362801862996456,-6.437559961839238,10683664524,130.56543070301382
1457877516,Beaumont Lodge Transitional Care Unit,53.39029073141346,-6.216118429630947,9929986838,32.00692342137142
3060089,UPMC Sports Surgery Clinic,53.40465454232762,-6.253787565844156,4591181864,17.957660543418314
4078472,St. Raphael's Hospital,53.33719426074008,-6.545721559389228,10899292896,18.158437749649398
12144599,St Vincent's University Hospital,53.31690125657961,-6.212628164348485,2455689015,23.465904478891435
13945381,St Joseph's Hospital,53.38275043802242,-6.181866332997797,3469626795,26.714605748460396
19308139,Dublin Dental University Hospital,53.34230041453412,-6.2520317210644185,5931163324,21.142089992220676
20131519,Unnamed Hospitals,53.33398791646186,-6.243920136227933,7465142081,19.034107629908544
