SA_PUB2022,walk_node_id,nearest_hospital_min,nearest_school_min,nearest_university_min
267065001/02,8196576625,34.410546666666654,19.483853333333343,27.809533333333327
268122003,6211508503,28.205477500000015,4.717226666666666,12.527839999999998
268098009,11349390666,14.647826666666665,3.2184266666666668,3.5771200000000007
267037003,480144532,20.884853333333332,8.503026666666669,23.331693333333327
268032004,8995772903,10.147173333333333,7.68392,14.87779420289855
267120008,322710303,27.649488484848487,14.788159999999998,21.641293846153847
268083012,903978422,17.20104,7.381439999999999,11.869306666666667
268144014,2987667048,20.341119999999993,9.92214666666667,12.087786666666666
268042008,1426961256,16.95663111111111,9.345173333333333,22.913757948717947
268058006,1672796954,14.034253333333332,5.6744,15.046167878787879
267153006,8618099143,27.66966888888889,8.626386666666667,13.037880000000003
267092054,13449565763,25.878413333333338,1.2149333333333334,14.654346666666665
267143001/03,9622565893,26.140286153846155,13.874999999999998,19.518726153846153
268138009/01,3119531508,5.432226666666667,3.349559999999999,4.582893333333333
267140055/02,4215928472,26.8938194425864,14.342146666666668,26.24978666666668
267151013,8622642949,18.47953925925925,10.907520000000005,10.705693333333336
267097003/267121006/267121001,14023173420,31.703706666666665,17.324319999999997,34.69650000000001
267134022,253315239,31.621938823529412,13.013839215686273,23.055472156862745
267155010,10594963927,16.150573333333334,10.26016,17.927725490196085
268015005/02,4693809985,18.951858333333334,9.094186666666669,11.69223703703704
267034003,253222207,28.243895833333333,13.577466666666664,29.80114916666667
268139009,10023801496,,,
267017005,11994552768,18.164379047619043,1.90936,18.579386666666664
267065008,12409410044,,,
268128011,8585679161,5.992266666666666,11.72272,12.173355706214686
268162014,3162664037,7.562613333333334,4.636213333333333,10.487070144927538
268136016,251007585,11.653886535947711,7.000906666666668,13.929082841530054
267099025,6053545819,37.43505666666666,11.728666666666667,28.86858999999999
268003007,321851714,12.82708,5.131173333333333,5.489866666666667
268131007,563884255,15.808120000000008,8.736146666666667,16.024333333333335
267103004/05,4851794359,30.299439999999997,15.279533333333339,34.900773333333326
268110002,9338957688,18.183172753623186,8.435013333333334,8.975626666666669
267132018,2986585087,38.588352280701756,12.432506666666672,31.15952561403509
267139001,652847805,18.45539259259259,9.54357333333333,10.358133333333338
268135013,564540033,11.285246274509802,3.76324,10.583146666666668
268134002,258599298,22.063826666666667,14.51693238095238,19.57413238095238
267124003,566457904,27.910569999999996,5.862080000000001,21.106426666666657
267010004,7794371309,23.056210574712647,4.649053333333333,24.327893333333332
267116010,8332477325,25.227066666666676,9.55132,28.63913913043479
267068001,667939546,25.6879987878788,4.889813333333333,19.64005025641025
268129025,8843274788,12.485226078431372,8.8743715942029,8.269212745098041
268105016/02,4890668122,5.516237894736842,5.608146666666666,3.835200000000001
268020003,2682639435,25.13526424242425,7.236546666666667,14.2544
268129016,259594847,12.921479999999999,5.238439999999999,20.36358607843137
268119010,4523227747,17.66142666666667,10.601426666666665,17.654739999999993
267048004,13283045445,34.065920000000006,22.695759999999996,29.62168666666667
267100062,11380030090,17.870066666666666,10.71212,22.471399999999996
267104020,366669520,52.0139789473684,16.588133333333335,45.412965614035066
268003011,130234348,7.128546666666667,3.72796,8.567239999999996
267147025/02,6549451489,,,
268100016,344793280,6.245173333333335,3.8779066666666666,4.42744
267132040,4843267231,35.61988561403509,9.46404,28.191058947368425
268041003,2062509221,12.780333333333337,9.590506666666668,14.242342564102566
268140015,550879545,10.004587801418442,11.449547801418444,2.8158
267041014,5173016587,20.563711794871793,13.92789333333334,18.95916512820513
268048005,2418028172,10.655790196078433,10.3183768627451,9.090243529411765
268100012,12249172126,11.070201904761907,3.3455066666666666,6.070346666666667
267156001,8630041214,13.494589999999999,9.879923333333332,9.879923333333332
268012002,2372734478,17.200424444444447,11.099519649122806,13.991319649122806
267004005,5054482318,31.602986666666652,4.247346666666666,20.58636000000001
267094012,253391981,52.82790456140351,16.095213333333334,46.22689122807018
267104024,97012972,59.962773333333345,21.083893333333332,52.059813333333345
268132014,4884427356,14.782694117647056,9.122206842105264,12.853627450980389
267080025,247804916,25.952999999999996,18.444466666666674,30.668293333333327
267015004,1411048346,21.00975888888889,10.63796,17.71385222222222
267070002,319029864,16.52604571428572,3.8291466666666665,16.941053333333336
268085012/268085001/02,360406240,20.483120459770113,8.608773333333335,15.15138712643678
267141007,9622568820,24.798620952380954,8.084573333333335,18.177060952380952
268016009,2407384718,23.606524999999994,5.845066666666667,15.614280000000008
268072003,4839291803,25.575026666666666,6.547533333333333,16.19622666666667
268134011,12194172709,13.3355552238806,6.091186666666666,8.900640000000001
267142007,11589659280,21.48111259259259,7.92768,23.33937925925926
267150009,8607478312,26.779288682170538,12.424360000000004,22.475481904761903
268150009,6339726193,8.657028571428572,4.077640000000001,10.776865225225228
268073009,4893017203,18.583835555555552,9.52184,10.110240000000001
267149008,8612020914,29.25861641025642,7.880013333333335,23.499514166666675
267077009,1407620526,9.015840000000003,9.090853333333335,10.24552
268054002,364875188,4.58788,10.936273846153846,8.953700512820513
267130002,257302302,27.399093333333326,3.5648800000000005,16.68869333333333
267113001,7814221267,21.902674471544728,7.154320000000001,23.339221138211393
267068002,3645713240,17.633173333333335,4.250973333333333,17.716413333333335
267053024,8988554601,39.11797333333333,7.476093333333335,23.80936000000001
267100060,11372387478,16.471506666666663,9.987693333333333,21.07284
267028004/02/11,12752542498,5.895733333333334,12.804626666666662,27.215908985507244
268077006,289164781,7.589359999999999,9.854400000000002,9.662453333333334
267057007,13464043603,20.652843809523812,4.954760000000001,18.67304380952381
268130012,2461684343,,,
267084032,8427286605,31.02734666666667,9.983773333333335,27.691644444444446
268129003,8384777245,9.54888,5.856519999999999,16.12850666666667
268143016,3363413213,12.098223333333335,10.90801,1.7680799999999999
267060006,2468983015,18.6603665248227,8.842066666666666,21.950193191489355
268110013,11986056413,19.35558608695652,3.9115066666666665,4.455906666666667
