SA_PUB2022,lat,lon,walk_node_id,snap_distance_m
267065001/02,53.48112732474036,-6.154057508220399,8196576625,34.74417987684113
268122003,53.405571420370165,-6.201420516207374,6211508503,10.025993901392726
268098009,53.34495390704002,-6.276454353909137,11349390666,13.66675649824091
267037003,53.26112332377978,-6.1446427449880225,480144532,27.94165643960584
268032004,53.360654401789795,-6.288134412674862,8995772903,20.84812311813401
267120008,53.211466420674384,-6.119499672783327,322710303,4.228647655341103
268083012,53.34171784859131,-6.326274040657105,903978422,35.71968097554163
268144014,53.32161643591337,-6.280729854317504,2987667048,7.718633127690543
268042008,53.36143900949478,-6.188663654874397,1426961256,13.069249537571654
268058006,53.364782099082944,-6.240827768972428,1672796954,7.7559822320195195
267153006,53.301388325104796,-6.331632125977836,8618099143,12.938467712219042
267092054,53.262056006614536,-6.196032252028459,13449565763,37.012356406760965
267143001/03,53.27205458101298,-6.380736807086087,9622565893,33.498254737253234
268138009/01,53.35828257445523,-6.261105162043516,3119531508,7.1738088114758884
267140055/02,53.28308368642164,-6.424566888018821,4215928472,19.910086261582624
267151013,53.30953424908527,-6.343817502048274,8622642949,8.316836751736332
267097003/267121006/267121001,53.246379827232936,-6.116201996952555,14023173420,2.6079019887686763
267134022,53.45392416054809,-6.183881112027929,253315239,33.87370412348034
267155010,53.3157799921546,-6.3273644666828135,10594963927,44.303731041749124
268015005/02,53.40497503039971,-6.2797026257566655,4693809985,29.024410142041
267034003,53.40980451344978,-6.395642258535061,253222207,6.628895357210659
268139009,53.35361386015281,-6.264065232051386,10023801496,19.767240759349747
267017005,53.28807828086004,-6.160558693231922,11994552768,69.16044432338532
267065008,53.464669539239516,-6.132034111688744,12409410044,36.41437099353417
268128011,53.32402558253932,-6.244100915367076,8585679161,8.655449068367233
268162014,53.33180568082659,-6.2696165221670555,3162664037,25.086785216737773
268136016,53.31662296280359,-6.271856213542967,251007585,31.812000777962
267099025,53.44247334758363,-6.199268665419408,6053545819,2.1871640191595194
268003007,53.34612857651301,-6.276506034643799,321851714,24.79962195902409
268131007,53.322738798808864,-6.253516506198892,563884255,13.351038082269175
267103004/05,53.34644172810552,-6.4591628943645745,4851794359,12.328812215006984
268110002,53.34031157601823,-6.227341139831528,9338957688,16.50634515358359
267132018,53.447279618155626,-6.246763889431515,2986585087,23.81038507112409
267139001,53.287253677779205,-6.35969438583041,652847805,5.0678539586940285
268135013,53.31918042681594,-6.268104379808301,564540033,27.736362173345576
268134002,53.31642166867744,-6.263873642656521,258599298,8.506413958129622
267124003,53.29324855057324,-6.219050989205826,566457904,25.745007274249502
267010004,53.285202159480185,-6.27058714041502,7794371309,5.59680766998022
267116010,53.29071530239435,-6.287710208265415,8332477325,28.180118494893723
267068001,53.27891438136433,-6.129307089620669,667939546,8.066167021974906
268129025,53.32059755969373,-6.23613372346104,8843274788,8.738618054696385
268105016/02,53.35886792613368,-6.260279207535818,4890668122,16.360461379931486
268020003,53.39271148603163,-6.2870429356786754,2682639435,15.865526934206203
268129016,53.31660190727613,-6.243151114933194,259594847,12.058482923124576
268119010,53.40413184074373,-6.1879721287603076,4523227747,18.25337532490939
267048004,53.33322396894793,-6.403932067513358,13283045445,18.074463227325545
267100062,53.353359335673076,-6.422814782412584,11380030090,22.009919269512924
267104020,53.52775453863348,-6.1626636780250355,366669520,4.570556937073957
268003011,53.3493197903824,-6.276805836147104,130234348,10.628079037231938
267147025/02,53.28769306409427,-6.376085698779833,6549451489,4.678937477656771
268100016,53.337090480149286,-6.273828122672702,344793280,15.606036251941457
267132040,53.449991591888875,-6.247211618854305,4843267231,7.9207758059334274
268041003,53.378551650934476,-6.184199212332435,2062509221,20.258606749084702
268140015,53.34517905904224,-6.260951578994928,550879545,14.962606371413429
267041014,53.37265574991895,-6.339643528139058,5173016587,10.899470321925588
268048005,53.36973846273486,-6.213152481828607,2418028172,20.72146621845112
268100012,53.338406110402886,-6.277050303727995,12249172126,24.081890512047597
267156001,53.314259879531996,-6.312798247334814,8630041214,48.4047157752651
268012002,53.381499444555764,-6.289667326510663,2372734478,37.28383878324788
267004005,53.3960907604126,-6.138127087840684,5054482318,15.703335242381405
267094012,53.57130948318583,-6.10414646362248,253391981,27.842302581702924
267104024,53.526242360230505,-6.180915429672434,97012972,29.14306533722451
268132014,53.32959089121832,-6.268794224444305,4884427356,14.697549381191166
267080025,53.27087743433891,-6.2368444538944035,247804916,27.30812955516183
267015004,53.262505086384905,-6.135390442665093,1411048346,62.033468245007704
267070002,53.285594060805785,-6.159236685020576,319029864,15.335117771873415
268085012/268085001/02,53.336047777603675,-6.321915762892419,360406240,23.471166954978433
267141007,53.27386539927777,-6.385225655134436,9622568820,17.650541408590353
268016009,53.404462075165895,-6.275320955875695,2407384718,19.383100588457527
268072003,53.39867869507865,-6.153710834368144,4839291803,53.54774740684535
268134011,53.32158763691583,-6.2637044100558885,12194172709,28.1054837369671
267142007,53.30151231045538,-6.356582231332471,11589659280,15.903307983474233
267150009,53.305497998301725,-6.3088227196834294,8607478312,32.78014857230483
268150009,53.33808917979683,-6.292297929302146,6339726193,32.10063724510679
268073009,53.39427419477898,-6.1540154045314965,4893017203,31.77199401728352
267149008,53.300344358094875,-6.313941199739734,8612020914,3.768506846245337
267077009,53.29581596438053,-6.13603676627629,1407620526,7.033263521334812
268054002,53.32546617671087,-6.315134513266965,364875188,1.5423657614358957
267130002,53.391293194816576,-6.146973812886018,257302302,40.82466833968456
267113001,53.291307599297795,-6.308663683271957,7814221267,47.13309020292574
267068002,53.2890951115506,-6.1254234875732925,3645713240,9.459360011121845
267053024,53.31285877026189,-6.406415503109649,8988554601,34.299796081360036
267100060,53.3558282994742,-6.423964115117965,11372387478,17.946343690362532
267028004/02/11,53.39012293945392,-6.432464703364719,12752542498,23.170954160363703
268077006,53.38314744551964,-6.187527264949812,289164781,24.016683693776713
267057007,53.30436445101182,-6.250309873773633,13464043603,0.25164456654739503
268130012,53.309149314428964,-6.253291645969801,2461684343,35.20622332817832
267084032,53.281189913709866,-6.339572044728281,8427286605,2.727710298907661
268129003,53.32037979095515,-6.245272870192997,8384777245,20.314570054119876
268143016,53.340906740468625,-6.239667054326502,3363413213,33.48608048696884
267060006,53.2734573133461,-6.10507785506746,2468983015,1.1017465749290012
268110013,53.34420124115825,-6.227059476340531,11986056413,30.17532452017434
268032003,53.35995025653167,-6.291112036069019,448144987,41.82140560034982
267105008,53.44523260829148,-6.141025839706652,832840226,32.1101908685544
267131017,53.46122127687589,-6.24169318080346,4077576617,12.592841684702877
268140003,53.34041836415653,-6.2677070993346105,666094840,16.125606796891308
267103004/01,53.34551972397451,-6.46105024768545,11310108667,35.784686965409705
267117012,53.30157897631937,-6.28196027883214,8210592914,34.27178848573147
267040013,53.37957414372261,-6.376416218675026,12988305072,4.584624276783481
267123031,53.58271954534988,-6.104176999269443,11632494268,8.136572239602646
268030012,53.37640755867307,-6.288935538477353,527824829,17.26740063209269
268031013,53.36206341383605,-6.287655741288791,14955929,12.68688831612293
268003003,53.34839416827969,-6.275620542132724,9122789916,39.940221724642186
268002012,53.35869064402819,-6.2812654091062425,6206012683,25.162317100907224
267138017,53.298818179060156,-6.4215577401487325,9693020212,23.513492589924944
268137013,53.32212099955825,-6.266871462348251,4411216022,6.528142560447277
268117019,53.33085133259904,-6.251186266264208,5872287414,6.76149347125607
267013014,53.28616301417246,-6.307853410214378,196025243,9.864177523448221
267133025,53.47204594669345,-6.239679267027761,6920537368,2.782820695672286
268071007,53.396128359915245,-6.165032962657352,3650720315,24.88830087520309
268081001,53.354682960247096,-6.271781998656132,5236728261,25.027878102065383
267002043/02,53.599879239073225,-6.176130993074311,560618994,6.992074668449795
268152001,53.33666710592445,-6.304648033324472,1224702251,33.50071553681903
267095015,53.38692224019182,-6.069688531397948,2366009782,3.985646243675484
267109016,53.349128119135365,-6.380670454962874,11093499018,24.230265602828464
268128002,53.32794429468029,-6.250156000351558,11767543194,10.731273915068748
268140001,53.34187996769324,-6.269604817666724,1426048964,27.339677637163167
267092001/01,53.229287267829164,-6.233538054649013,4344745986,180.06985413528352
267066008,53.40250036618298,-6.293881454390818,923008526,27.099709180103
267100039,53.34537759994614,-6.422406567832125,247119050,16.91642777546064
267053009,53.31185038425682,-6.402145062904609,8988554637,50.507604388766865
267099026,53.421860835949275,-6.155187463063287,255329498,12.560891933153478
267135003,53.461407279047606,-6.214644089215892,5051700588,33.62489274063966
267079011,53.29060390481762,-6.238719900526427,256112179,31.774044555238156
268054013,53.32713097693565,-6.304939895678998,4698030093,11.883038196596264
268156004,53.318349663380445,-6.324258134746694,13727617453,44.864198406354674
268143012,53.34539986440056,-6.241968908892298,11613717381,8.522565195738585
268133016,53.32565412352905,-6.259549989284494,2473982545,36.215062036167296
268138005,53.358068254754514,-6.262567457749137,5405915970,13.451536895263565
267118013,53.51974665197994,-6.094290828301018,12550974825,9.256035469663628
268042025,53.36359105060559,-6.17823651211384,9095365572,31.90048647561133
267127003/02,53.28327379794622,-6.204304257566353,2644630879,84.30977564424262
268158008,53.38670305753914,-6.252219771392485,298543070,60.07677723904434
267152004,53.30020492535523,-6.3203817745665685,54810058,12.005427963277983
267103005,53.357340759115885,-6.4720904810980855,11724941441,17.394049105267094
267138011,53.28932224598495,-6.395021343003684,6291106883,15.850737321138677
267069001/03,53.28279732561525,-6.1402188005752345,5210534872,16.18059425824938
267112012,53.28229697827113,-6.471592461776921,4263179673,10.621409974003022
268066005,53.38985519393426,-6.318379621912669,2686926385,24.753876225541205
268060004/01,53.374418311778385,-6.25255564279606,5428835204,17.171152381189458
268070011,53.374588917984255,-6.224433012466289,1707057985,43.14532293240773
267135001,53.45403765488663,-6.219663009556433,2591647026,16.405534248130667
268019002,53.39079189263494,-6.272586698510081,12280674,30.849671640651174
268161004,53.33911851108249,-6.271033884640006,10605160420,10.066529376843123
267050016,53.322892760049754,-6.388190887198249,8955435277,48.099885823748544
268010004,53.3605164411062,-6.257315804579208,699457906,16.75063366881873
268146004,53.30817846093806,-6.29907289819544,2377422637,40.84413197330333
268027001,53.370781912487885,-6.269942507168518,1422409186,18.0169453740855
267040028,53.3764457900433,-6.381191276099314,12974087291,1.522741376388891
267103012/02,53.33717491959184,-6.45925768319932,9773701888,8.179186509592768
268072013/06,53.408222464625865,-6.159105797683107,11159901813,20.30895355378006
268105013,53.35611186766799,-6.254006570201439,479669427,8.728053208742057
267085001,53.27346197191493,-6.326907971469164,292494246,4.065581502997835
268056002,53.3286751555077,-6.32550834733061,2864127426,5.100116624714624
268082010,53.34750737590631,-6.272533887369778,10249513890,9.143692871862752
267098004,53.453506571046276,-6.290127263507504,6323432180,9.46936387797884
267128008,53.300611389685564,-6.208770467802891,8397416112,19.210055296600537
267029013/02,53.39414075915075,-6.390763616055822,5330140827,18.972779804321416
268136002,53.31403720825593,-6.277672653926191,600567222,9.430194835513355
267041017,53.372512487211495,-6.336437522526322,5183398272,21.877414513329295
268117016,53.3311602509349,-6.243364641585492,12177699345,45.079682402656815
267004011/01,53.402932829329906,-6.146124874267366,11278329443,160.3927408043033
267160005,53.40110131249665,-6.240764457141903,2443612610,50.95434663333917
267069001/09,53.28747435533918,-6.144272747354738,11974236218,29.641993219511132
268002003,53.3537095368727,-6.284896866584362,8905140622,20.676217107755548
268115008,53.339639504651544,-6.235426007373842,3371068746,9.665681716663396
267092026/01/267092026/267092050,53.255982881810404,-6.2060776641636854,12448290468,11.572822092474503
268042018,53.363427084902135,-6.192151441904623,1426961534,45.681700897438475
267132007,53.44348263667697,-6.235610302118589,12580436067,2.91128190044477
267133017,53.47272809337673,-6.2325886740115655,296511112,5.670122704237669
268139002,53.35528325731944,-6.2650071763548185,11506858047,11.195269866179228
267085018,53.28211191614442,-6.320817091210117,4863918827,6.539613556118435
268030021,53.36065581400209,-6.277618036440692,5243890469,12.312468185046074
268022001,53.385731545262665,-6.2207851399329295,26389404,21.16421736492834
268081002,53.35709409017412,-6.265924893884299,938924430,21.26865494369152
267110008,53.432178064871074,-6.126908754512197,253511232,26.077003302250844
268047009,53.37362292456244,-6.220066698142051,2758274158,22.24917785357248
267022004,53.310007804160804,-6.212699657117233,3227845445,49.87915338032493
268098001,53.343432016041746,-6.279077009406641,2395258298,20.85611170229276
267092021/01,53.24197007012315,-6.202724803988418,9528581090,3.9209198277113697
267002002/02,53.605959476195416,-6.202142361462122,5534079626,30.579946194439152
267020005,53.29051395737915,-6.185154297784709,6681749358,33.40447877973979
267092045,53.26729322984941,-6.213412993660754,1281476760,17.34633426959343
267085012,53.27639760627755,-6.316185954334154,7820927482,10.084739533469977
268149002,53.345998016435345,-6.281398552848333,8676602129,2.656489302428256
267092028,53.25312069349641,-6.208225873990234,412129168,19.684072629308417
267100042,53.341482922407494,-6.424933171112668,11878613648,15.762990929865724
268087003,53.391710761950904,-6.207143778342406,2516833439,36.52503511497984
267028019,53.39577299687911,-6.41095763070731,6191759916,43.90406249855328
268100011,53.339009343420116,-6.278628520929724,10649675996,11.384426985794459
267147008/02,53.28588600911118,-6.377841670783009,6231449742,5.527374713708925
268060004/02,53.37473763141516,-6.253927336284418,6330512051,16.731086194291755
268132003/02,53.32532449601228,-6.276812861419451,14023152520,5.113097811987099
268101007,53.335876666098436,-6.274160435190582,10609112923,5.1336977513266495
267021007,53.30060303096646,-6.182991559787773,3652923221,16.466640213868324
268023007,53.38514986670948,-6.204795853957216,3479251652,15.134746520774641
268028013,53.37048245133115,-6.264261485917754,11822804245,4.432429631431772
267083004,53.27252134419993,-6.304521492142753,1121355089,27.571489657841177
267092052,53.26486075010782,-6.201223031951944,13450228983,33.337880507223986
268027010,53.368533444482495,-6.271433439157126,6367887265,4.3981376493906215
267100057,53.34824577774385,-6.426044748845408,243986762,5.339214617784989
268136010,53.31418370221265,-6.2809833489174505,2375345642,15.035147909311014
268151009,53.337400289238374,-6.2963622237432455,359102365,28.057348267917263
267028008,53.40255710373649,-6.4068008132742404,12894720051,4.054584880074257
267105006,53.44840703177448,-6.140797198976764,6955691215,32.03846222707636
267056005/02,53.304488257553,-6.217082064483558,7999151172,8.814663175808937
268059004,53.363350091424124,-6.24933776800518,1514540700,58.44501185914881
267092051,53.26733474681363,-6.208067153556501,11831404191,1.4198028690837934
268151002,53.33714540247424,-6.298464172815322,358556168,23.13622189991976
268133008,53.325409134553546,-6.263593724617811,3000436398,20.502537972783447
267082006,53.29436585225844,-6.233943551483189,260022226,4.798968642350754
267044008,53.28903518879379,-6.262752584798822,239676896,24.856708312164862
