SA_PUB2022,walk_node_id,Dublin_City_Centre_(CBD)_min,IFSC___Docklands_min,Sandyford_Business_District_min,Dublin_Airport_min,Blanchardstown_min,Tallaght_min,min_travel_time_min,nearest_destination
267065001/02,8196576625,43.84476190476188,44.97541765765764,75.01179878787879,52.47256761904759,66.62216148148146,85.2496022222222,43.84476190476188,Dublin_City_Centre_(CBD)_min
268122003,6211508503,48.752850833333326,51.377397499999994,84.63698416666662,57.85022659090909,75.46497284246571,94.48599749999995,48.752850833333326,Dublin_City_Centre_(CBD)_min
268098009,11349390666,13.15549568627451,12.975509019607843,46.9272805952381,36.24280494553377,33.852339453551906,46.75454225352111,12.975509019607843,IFSC___Docklands_min
267037003,480144532,38.17133333333333,37.35801333333333,40.481557142857135,60.62530925925925,62.85647999999999,66.69455073170731,37.35801333333333,IFSC___Docklands_min
268032004,8995772903,19.60527420289855,22.54647135135135,56.75292753623189,45.813767277277286,26.813803636363634,58.055556841547435,19.60527420289855,Dublin_City_Centre_(CBD)_min
267120008,322710303,51.37231515151514,50.558995151515134,47.09588434691743,73.8262910774411,76.05746181818184,79.89553254988915,47.09588434691743,Sandyford_Business_District_min
268083012,903978422,18.87569333333333,17.326306666666664,53.92120846560847,40.593602592592596,38.75810666666667,47.16412549019607,17.326306666666664,IFSC___Docklands_min
268144014,2987667048,30.86501333333333,31.812564705882355,47.99470553579572,55.07986063180827,57.37106919540228,39.95259999999999,30.86501333333333,Dublin_City_Centre_(CBD)_min
268042008,1426961256,30.158304615384615,32.82797006993007,65.0204361568866,50.958460440300456,56.630798850489306,75.25823959123004,30.158304615384615,Dublin_City_Centre_(CBD)_min
268058006,1672796954,23.01600294985251,27.250807274176836,58.90013628318582,49.13287037037038,52.07297688312462,68.74914961651916,23.01600294985251,Dublin_City_Centre_(CBD)_min
267153006,8618099143,48.63681555555557,49.58436692810459,57.03493365079367,72.8516628540305,71.52626735042733,33.000004444444436,33.000004444444436,Tallaght_min
267092054,13449565763,50.72477057471266,54.59532496067757,17.31441333333334,77.86262088660351,79.30209170946446,64.87345775419983,17.31441333333334,Sandyford_Business_District_min
267143001/03,9622565893,54.478712820512804,52.92932615384614,54.40557948717947,76.1966220797721,64.90709794871793,24.336726153846154,24.336726153846154,Tallaght_min
268138009/01,3119531508,9.80696,16.32096,44.29712909090909,38.937126666666664,31.547200952380948,54.97947575757576,9.80696,Dublin_City_Centre_(CBD)_min
267140055/02,4215928472,48.4719258333333,46.92253916666664,68.21997333333329,67.3663550383632,55.42531096153843,31.067786666666677,31.067786666666677,Tallaght_min
267151013,8622642949,45.06699865319865,43.51761198653198,58.59273735449735,66.7849079124579,63.42521306471305,24.856041269841267,24.856041269841267,Tallaght_min
267097003/267121006/267121001,14023173420,55.42653333333336,54.613213333333356,51.15010252873565,77.88050925925921,80.11167999999995,83.94975073170727,51.15010252873565,Sandyford_Business_District_min
267134022,253315239,42.1666588235294,33.26625882352941,73.89251215686274,40.80233882352941,66.23875307812011,75.1594388235294,33.26625882352941,IFSC___Docklands_min
267155010,10594963927,42.73803272727274,41.18864606060606,56.98618424908424,64.45594198653198,61.233084522144516,30.224827368421042,30.224827368421042,Tallaght_min
268015005/02,4693809985,19.753218333333336,19.787582657657655,50.747791666666664,16.999001904761904,39.556165,55.804131666666656,16.999001904761904,Dublin_Airport_min
267034003,253222207,39.1610525,43.26578583333334,76.30870583333332,60.99461842592594,27.589495833333338,64.79797583333334,27.589495833333338,Blanchardstown_min
268139009,10023801496,,,,,,,,
267017005,11994552768,40.02783238095239,38.96549705615391,34.69909904761905,62.232792982079836,64.71297904761906,67.15761904761905,34.69909904761905,Sandyford_Business_District_min
267065008,12409410044,,,,,,,,
268128011,8585679161,25.967689039548024,24.154369039548026,39.737153043478266,47.42166496547396,49.652835706214695,51.25686421196182,24.154369039548026,IFSC___Docklands_min
268162014,3162664037,21.356840416666664,23.87685375,37.52803565891472,47.14414967592593,48.20865375,40.68525681159421,21.356840416666664,Dublin_City_Centre_(CBD)_min
268136016,251007585,28.50686950819672,30.960216174863387,41.48049461642184,54.22751210078932,55.358682841530054,33.717353202614376,28.50686950819672,Dublin_City_Centre_(CBD)_min
267099025,6053545819,40.20312666666666,31.302726666666665,71.92898000000005,43.996959999999994,68.93176780141845,77.66865333333331,31.302726666666665,IFSC___Docklands_min
268003007,321851714,10.92365846153846,10.743671794871794,46.286333928571416,34.01096772079773,34.807472786885235,47.703262253521096,10.743671794871794,IFSC___Docklands_min
268131007,563884255,22.706911111111115,27.699415000000005,27.058445714285718,50.96671092592591,51.28423224586289,45.946642962962954,22.706911111111115,Dublin_City_Centre_(CBD)_min
