id,name,lat,lon,walk_node_id,snap_distance_m
434378090,Grafton College of Management Sciences,53.3551013,-6.262808099999999,6977210558,6.594677305813515
529655898,Dominican College,53.30149409999999,-6.189717700000001,3663137085,19.930872915558997
529655899,Froebel College of Education,53.3012319,-6.189060099999999,3663137094,32.06903663234401
651804747,Dublin Business School,53.3405156,-6.265438700000001,135109542,15.00073098892178
1327270445,Swan Training Institute,53.3425545,-6.259499,9101664,8.082067454898452
1460508190,Erin college,53.3559356,-6.268338999999999,246803535,16.34162796381393
1488891296,Youthreach,53.3540338,-6.262705400000001,6347881257,30.88489447878069
2529089276,The Open College,53.2605842,-6.196391400000001,2372268845,22.450671352812464
2558604966,Hibernia College,53.34176709999999,-6.2520424000000006,6007712621,15.731101800532985
2569936143,Dorset College,53.3581683,-6.2574292,2522177356,15.602884134661663
2997622559,Dublin Business School,53.3433477,-6.264677200000001,2940664519,13.407177792674304
3044894567,Boston College - Ireland,53.3382439,-6.255367699999999,10538269099,24.773847256697834
3051154795,School of English & Business Studies,53.3475833,-6.259844300000001,5101079520,15.566539757367732
3052818967,Business Computer Training Institute,53.3529298,-6.264979099999999,13398439560,9.492847345171889
3151879456,International College of Technology,53.3462912,-6.258823199999999,5281437649,19.928106861616918
3224845395,Gaiety School of Acting,53.3447423,-6.268478900000001,13103567294,17.511204519709402
3477853413,The Academy of Photography,53.3563943,-6.246934799999999,336142147,25.911467176382317
3486151704,NCU Training Centre,53.4003602,-6.206649400000001,3480071975,19.6299471129712
3624029855,Portobello Institute,53.3520688,-6.267035399999999,5154415464,10.95385589030083
3674218871,BFTTI Hi-tech Training,53.35501859999999,-6.2616855,11614909903,33.18883697393351
3733491305,Bronwyn Conroy International Beauty School,53.3003295,-6.1760546000000005,3848204914,16.401812772245034
4338228959,Blackrock Further Education Institute,53.300884,-6.175952499999999,12773142048,40.188532639750626
5337558047,Youthreach,53.3915797,-6.2645581,4145737556,13.893715135035688
