SA_PUB2022,walk_node_id,Dublin_City_Centre_(CBD)_min,IFSC___Docklands_min,Sandyford_Business_District_min,Dublin_Airport_min,Blanchardstown_min,Tallaght_min,min_travel_time_min,nearest_destination,T15_1_NC,T15_1_TC,no_car_rate,ED_ID_STR,ED_ENGLISH,COUNTY_ENGLISH,ed_deprivation_score,ed_deprivation_category,need_percentile,access_percentile,quadrant,desert_severity_index
267065001/02,8196576625,43.84476190476188,44.97541765765764,75.01179878787879,52.47256761904759,66.62216148148146,85.2496022222222,43.84476190476188,Dublin_City_Centre_(CBD)_min,8,104,0.07692307692307693,267065,DONABATE,FINGAL,8.5,Marginally Above Average,0.2870483150629314,0.09216402760860742,Low-priority gap,0.19488428745432396
268122003,6211508503,48.752850833333326,51.3773975,84.63698416666662,57.85022659090909,75.46497284246571,94.48599749999995,48.752850833333326,Dublin_City_Centre_(CBD)_min,50,131,0.3816793893129771,268122,PRIORSWOOD B,DUBLIN CITY,-28.18,Very Disadvantaged,0.8678440925700366,0.05826228177019899,Transit Desert,0.8095818107998376
268098009,11349390666,13.15549568627451,12.975509019607845,46.9272805952381,36.24280494553377,33.852339453551906,46.75454225352111,12.975509019607845,IFSC___Docklands_min,44,99,0.4444444444444444,268098,MERCHANTS QUAY A,DUBLIN CITY,-4.86,Marginally Below Average,0.9090539991879821,0.951278928136419,"Well-served, high-need",-0.04222492894843688
267037003,480144532,38.17133333333333,37.35801333333333,40.481557142857135,60.62530925925925,62.85647999999999,66.69455073170731,37.35801333333333,IFSC___Docklands_min,2,78,0.02564102564102564,267037,CABINTEELY-KILBOGGET,DUN LAOGHAIRE/RATHDOWN,-5.48,Marginally Below Average,0.0817092976045473,0.20198944376776284,Low-priority gap,-0.12028014616321554
268032004,8995772903,19.60527420289855,22.54647135135135,56.75292753623189,45.813767277277286,26.813803636363637,58.05555684154744,19.60527420289855,Dublin_City_Centre_(CBD)_min,25,90,0.2777777777777778,268032,CABRA EAST C,DUBLIN CITY,4.97,Marginally Above Average,0.7312220868859115,0.8485586682907024,"Well-served, high-need",-0.11733658140479086
267120008,322710303,51.37231515151514,50.558995151515134,47.09588434691743,73.8262910774411,76.05746181818184,79.89553254988915,47.09588434691743,Sandyford_Business_District_min,10,83,0.12048192771084337,267120,SHANKILL-RATHMICHAEL,DUN LAOGHAIRE/RATHDOWN,5.76,Marginally Above Average,0.4171741778319123,0.0671944782785221,Low-priority gap,0.3499796995533902
268083012,903978422,18.87569333333333,17.326306666666664,53.92120846560847,40.5936025925926,38.75810666666667,47.16412549019607,17.326306666666664,IFSC___Docklands_min,32,121,0.2644628099173554,268083,KILMAINHAM A,DUBLIN CITY,-10.04,Disadvantaged,0.7046285018270402,0.8942346731628096,"Well-served, high-need",-0.1896061713357694
268144014,2987667048,30.86501333333333,31.812564705882355,47.99470553579572,55.07986063180827,57.37106919540228,39.95259999999999,30.86501333333333,Dublin_City_Centre_(CBD)_min,24,75,0.32,268144,TERENURE A,DUBLIN CITY,12.01,Affluent,0.7984165651644336,0.4311814859926918,Transit Desert,0.3672350791717418
268042008,1426961256,30.158304615384612,32.82797006993007,65.0204361568866,50.958460440300456,56.630798850489306,75.25823959123004,30.158304615384612,Dublin_City_Centre_(CBD)_min,10,109,0.09174311926605505,268042,CLONTARF EAST B,DUBLIN CITY,10.28,Affluent,0.3332318311002842,0.4608201380430369,Low-priority gap,-0.1275883069427527
268058006,1672796954,23.01600294985251,27.25080727417684,58.90013628318582,49.13287037037038,52.07297688312462,68.74914961651916,23.01600294985251,Dublin_City_Centre_(CBD)_min,24,103,0.23300970873786409,268058,DRUMCONDRA SOUTH A,DUBLIN CITY,11.87,Affluent,0.6574299634591961,0.7486804709703614,"Well-served, high-need",-0.09125050751116526
267153006,8618099143,48.63681555555557,49.58436692810459,57.03493365079367,72.8516628540305,71.52626735042733,33.00000444444444,33.00000444444444,Tallaght_min,7,113,0.061946902654867256,267153,TEMPLEOGUE-OSPREY,SOUTH DUBLIN,2.97,Marginally Above Average,0.22584246853430776,0.3390174583840845,Low-priority gap,-0.11317498984977672
267092054,13449565763,50.72477057471266,54.59532496067757,17.31441333333334,77.86262088660351,79.30209170946446,64.87345775419983,17.31441333333334,Sandyford_Business_District_min,13,91,0.14285714285714285,267092,GLENCULLEN,DUN LAOGHAIRE/RATHDOWN,11.63,Affluent,0.4711733658140479,0.8946406820950061,"Well-served, low-need",-0.42346731628095824
267143001/03,9622565893,54.4787128205128,52.92932615384614,54.40557948717947,76.1966220797721,64.90709794871793,24.336726153846158,24.336726153846158,Tallaght_min,2,128,0.015625,267143,TALLAGHT-KILTIPPER,SOUTH DUBLIN,-6.85,Marginally Below Average,0.0476045473000406,0.6971173365814047,"Well-served, low-need",-0.6495127892813641
268138009/01,3119531508,9.80696,16.32096,44.29712909090909,38.93712666666666,31.547200952380948,54.97947575757576,9.80696,Dublin_City_Centre_(CBD)_min,34,107,0.3177570093457944,268138,ROTUNDA A,DUBLIN CITY,0.74,Marginally Above Average,0.7938489646772229,0.9805115712545676,"Well-served, high-need",-0.18666260657734468
267140055/02,4215928472,48.4719258333333,46.92253916666664,68.21997333333329,67.3663550383632,55.42531096153843,31.06778666666668,31.06778666666668,Tallaght_min,45,195,0.23076923076923078,267140,TALLAGHT-JOBSTOWN,SOUTH DUBLIN,-8.15,Marginally Below Average,0.6524563540397889,0.42103126268777913,Transit Desert,0.23142509135200973
267151013,8622642949,45.06699865319865,43.51761198653198,58.59273735449735,66.7849079124579,63.42521306471305,24.856041269841267,24.856041269841267,Tallaght_min,11,79,0.13924050632911392,267151,TEMPLEOGUE-LIMEKILN,SOUTH DUBLIN,0.33,Marginally Above Average,0.4633576938692651,0.6749898497766951,"Well-served, low-need",-0.21163215590742995
267097003/267121006/267121001,14023173420,55.42653333333336,54.61321333333336,51.15010252873565,77.88050925925921,80.11167999999995,83.94975073170727,51.15010252873565,Sandyford_Business_District_min,5,140,0.03571428571428571,267097,KILLINEY SOUTH,DUN LAOGHAIRE/RATHDOWN,-4.84,Marginally Below Average,0.1188591149005278,0.04628501827040199,Low-priority gap,0.07257409663012582
267134022,253315239,42.1666588235294,33.26625882352941,73.89251215686274,40.80233882352941,66.23875307812011,75.1594388235294,33.26625882352941,IFSC___Docklands_min,5,98,0.05102040816326531,267134,SWORDS-SEATOWN,FINGAL,7.4,Marginally Above Average,0.18118148599269185,0.3272431993503857,Low-priority gap,-0.14606171335769386
267155010,10594963927,42.73803272727274,41.18864606060606,56.98618424908424,64.45594198653198,61.23308452214452,30.22482736842104,30.22482736842104,Tallaght_min,22,147,0.14965986394557823,267155,TERENURE-CHERRYFIELD,SOUTH DUBLIN,1.34,Marginally Above Average,0.48568818514007306,0.4559480308566789,Low-priority gap,0.02974015428339416
268015005/02,4693809985,19.753218333333336,19.78758265765765,50.74779166666666,16.999001904761904,39.556165,55.804131666666656,16.999001904761904,Dublin_Airport_min,29,80,0.3625,268015,BALLYMUN A,DUBLIN CITY,-7.27,Marginally Below Average,0.8485586682907024,0.8993097848152659,"Well-served, high-need",-0.050751116524563544
267034003,253222207,39.1610525,43.26578583333334,76.30870583333332,60.99461842592594,27.589495833333338,64.79797583333334,27.589495833333338,Blanchardstown_min,16,86,0.18604651162790697,267034,BLANCHARDSTOWN-TYRRELSTOWN,FINGAL,-11.6,Disadvantaged,0.5665854648802273,0.5712545676004872,"Well-served, high-need",-0.004669102720259888
267017005,11994552768,40.02783238095239,38.96549705615391,34.69909904761905,62.23279298207984,64.71297904761906,67.15761904761905,34.69909904761905,Sandyford_Business_District_min,10,140,0.07142857142857142,267017,BLACKROCK-MONKSTOWN,DUN LAOGHAIRE/RATHDOWN,12.45,Affluent,0.26664636622005683,0.27730410069021516,Low-priority gap,-0.010657734470158331
268128011,8585679161,25.967689039548024,24.154369039548023,39.737153043478266,47.42166496547396,49.652835706214695,51.25686421196182,24.154369039548023,IFSC___Docklands_min,32,130,0.24615384615384617,268128,RATHMINES EAST A,DUBLIN CITY,12.1,Affluent,0.6734673162809581,0.7048315062931385,"Well-served, high-need",-0.03136419001218038
268162014,3162664037,21.356840416666664,23.87685375,37.52803565891472,47.14414967592593,48.20865375,40.68525681159421,21.356840416666664,Dublin_City_Centre_(CBD)_min,25,80,0.3125,268162,WOOD QUAY B,DUBLIN CITY,8.98,Marginally Above Average,0.7870483150629314,0.8006496142915144,"Well-served, high-need",-0.013601299228582997
268136016,251007585,28.50686950819672,30.960216174863387,41.48049461642184,54.22751210078932,55.35868284153005,33.717353202614376,28.50686950819672,Dublin_City_Centre_(CBD)_min,18,66,0.2727272727272727,268136,RATHMINES WEST E,DUBLIN CITY,15.15,Affluent,0.7198538367844093,0.5328867235079171,"Well-served, high-need",0.18696711327649218
267099025,6053545819,40.20312666666666,31.302726666666665,71.92898000000005,43.99696,68.93176780141845,77.66865333333331,31.302726666666665,IFSC___Docklands_min,6,98,0.061224489795918366,267099,KINSALEY,FINGAL,7.14,Marginally Above Average,0.22391392610637434,0.41149005278116113,Low-priority gap,-0.1875761266747868
268003007,321851714,10.92365846153846,10.743671794871794,46.286333928571416,34.01096772079773,34.807472786885235,47.703262253521096,10.743671794871794,IFSC___Docklands_min,80,100,0.8,268003,ARRAN QUAY C,DUBLIN CITY,8.13,Marginally Above Average,0.9989849776695088,0.9715793747462445,"Well-served, high-need",0.027405602923264327
268131007,563884255,22.706911111111115,27.699415000000005,27.05844571428572,50.96671092592591,51.28423224586289,45.94664296296296,22.706911111111115,Dublin_City_Centre_(CBD)_min,34,119,0.2857142857142857,268131,RATHMINES EAST D,DUBLIN CITY,13.75,Affluent,0.743605359317905,0.7602517255379618,"Well-served, high-need",-0.016646366220056885
