table_name,field_name,language,translation,record_id,field_value
stops,stop_name,ga,Ambasáid Mheiriceá,8220DB000487,
stops,stop_name,ga,Ambasáid na Liotuáine,8220000418,
stops,stop_name,ga,Ambasáid na Liotuáine,8220000421,
stops,stop_name,ga,Amberley,8380B2407501,
stops,stop_name,ga,Amberley,8380B2410201,
stops,stop_name,ga,Amgen,8250DB007651,
stops,stop_name,ga,Amharc Muileann,8400B0610061,
stops,stop_name,ga,Amharc Muileann,8400B0610081,
stops,stop_name,ga,Amharclann Riverbank,8260B1039101,
stops,stop_name,ga,Amharclann Riverbank,8260B1041201,
stops,stop_name,ga,An Abhainn Dubh,8340B338821,
stops,stop_name,ga,An Abhainn Dubh,8340B3388901,
stops,stop_name,ga,An Aill,8240000015,
stops,stop_name,ga,An Aill,8240LL12054,
stops,stop_name,ga,An Aill Bhuí,8360LL13719,
stops,stop_name,ga,An Airgnigh,8500LL10668,
stops,stop_name,ga,An Altóir,8380LL12337,
stops,stop_name,ga,An Altóir,8380LL12338,
stops,stop_name,ga,An Ancaireacht,844000044,
stops,stop_name,ga,An Ascaill Theas,8250DB000443,
stops,stop_name,ga,An Ascaill Theas,8250DB000454,
stops,stop_name,ga,An Ascaill Theas,8250DB002076,
stops,stop_name,ga,An Ascaill Thoir,839000003,
stops,stop_name,ga,An Ascaill Thoir,839000039,
stops,stop_name,ga,An Bábhún Buí,852000014,
stops,stop_name,ga,An Bábhún Buí,852000077,
stops,stop_name,ga,An Bábhún Nua,8340LL14005,
stops,stop_name,ga,An Bábhún Nua,8340LL14012,
stops,stop_name,ga,An Baile Bán,8460B5236301,
stops,stop_name,ga,An Baile Bán,8460B5332901,
stops,stop_name,ga,An Baile Bán Thiar,8230DB003385,
stops,stop_name,ga,An Baile Bán Thiar,8230DB003414,
stops,stop_name,ga,An Baile Bán Thoir,8230DB003384,
stops,stop_name,ga,An Baile Bán Thoir,8230DB003415,
stops,stop_name,ga,An Baile Beag,8350LL14890,
stops,stop_name,ga,An Baile Beag,8350LL14891,
stops,stop_name,ga,An Baile Beag,842000085,
stops,stop_name,ga,An Baile Beag,842000086,
stops,stop_name,ga,An Baile Dubh,8390LL11331,
stops,stop_name,ga,An Baile Dubh Uacht,8380LL13211,
stops,stop_name,ga,An Baile Dubh Uacht,8380LL13212,
stops,stop_name,ga,An Baile Gaelach,8340LL11637,
